Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status"
2021-2022,1,10017,130419,Alameda,Alameda County Office of Education,Alameda County Community,County Office of Education (COE),County Community,County Community School,N/A,N,N/A,N/A,N,K,12,57,45,78.90%,47,82.50%,37,29,78.40%,31,83.80%,Y
2021-2022,1,10017,130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,N/A,N,N/A,N/A,N,K,12,64,64,100.00%,64,100.00%,56,56,100.00%,56,100.00%,Y
2021-2022,1,10017,130625,Alameda,Alameda County Office of Education,Alternatives in Action,County Office of Education (COE),High Schools (Public),Traditional,N/A,Y,398,Directly funded,Y,9,12,150,113,75.30%,134,89.30%,129,95,73.60%,116,89.90%,Y
2021-2022,1,10017,137448,Alameda,Alameda County Office of Education,Aurum Preparatory Academy,County Office of Education (COE),Junior High Schools (Public),Traditional,N/A,Y,1908,Directly funded,Y,6,8,164,135,82.30%,148,90.20%,164,135,82.30%,148,90.20%,Y
2021-2022,1,10017,123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,1284,Directly funded,Y,K,8,202,162,80.20%,177,87.60%,202,162,80.20%,177,87.60%,Y
2021-2022,1,10017,136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Y,1881,Directly funded,Y,K,12,514,107,20.80%,124,24.10%,508,107,21.10%,124,24.40%,Y
2021-2022,1,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,740,Directly funded,Y,P,5,516,321,62.20%,339,65.70%,502,311,62.00%,329,65.50%,Y
2021-2022,1,10017,112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Y,811,Directly funded,Y,4,12,411,230,56.00%,277,67.40%,401,221,55.10%,268,66.80%,Y
2021-2022,1,10017,138867,Alameda,Alameda County Office of Education,Hayward Collegiate Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,2027,Directly funded,Y,K,6,141,69,48.90%,93,66.00%,140,69,49.30%,92,65.70%,Y
2021-2022,1,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,1464,Directly funded,Y,K,8,469,227,48.40%,229,48.80%,459,225,49.00%,227,49.50%,Y
2021-2022,1,10017,131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,N/A,Y,1707,Directly funded,Y,6,8,108,84,77.80%,90,83.30%,108,84,77.80%,90,83.30%,Y
