State Postal Code,State FIPS Code,District ID,District,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AL,1,190,Alabaster City ,"33,897","6,611",622
AL,1,5,Albertville City ,"22,527","4,668","1,042"
AL,1,30,Alexander City City ,"16,964","2,772",765
AL,1,60,Andalusia City ,"8,840","1,485",436
AL,1,90,Anniston City ,"21,477","2,977","1,054"
AL,1,100,Arab City ,"8,515","1,510",256
AL,1,120,Athens City ,"26,397","4,149",545
AL,1,180,Attalla City ,"5,812",962,263
AL,1,210,Auburn City ,"77,497","10,732","1,173"
AL,1,240,Autauga County ,"59,095","10,444","1,607"
AL,1,270,Baldwin County ,"223,776","36,648","5,478"
AL,1,300,Barbour County ,"12,214","1,412",488
AL,1,330,Bessemer City ,"25,754","4,306","1,852"
AL,1,360,Bibb County ,"22,477","3,342",940
AL,1,390,Birmingham City ,"198,624","27,013","11,105"
AL,1,420,Blount County ,"52,114","9,099","1,420"
AL,1,12,Boaz City ,"10,161","1,950",467
AL,1,450,Brewton City ,"5,268",860,249
AL,1,480,Bullock County ,"10,320","1,622",690
AL,1,510,Butler County ,"18,884","3,189","1,073"
AL,1,540,Calhoun County ,"54,643","9,364","1,963"
AL,1,600,Chambers County ,"27,617","4,127","1,161"
AL,1,630,Cherokee County ,"24,996","3,555",882
AL,1,188,Chickasaw City ,"6,430","1,150",379
AL,1,660,Chilton County ,"45,274","8,016","1,621"
AL,1,690,Choctaw County ,"12,533","1,831",587
AL,1,720,Clarke County ,"17,688","2,779",808
AL,1,750,Clay County ,"14,190","2,172",576
AL,1,780,Cleburne County ,"14,859","2,552",525
AL,1,810,Coffee County ,"20,870","3,669",711
AL,1,840,Colbert County ,"22,589","3,351",677
AL,1,870,Conecuh County ,"11,328","1,668",555
AL,1,900,Coosa County ,"10,450","1,257",362
AL,1,930,Covington County ,"21,921","3,540",807
AL,1,960,Crenshaw County ,"13,083","2,287",621
AL,1,990,Cullman City ,"17,484","2,895",372
AL,1,1020,Cullman County ,"71,982","12,000","2,017"
AL,1,1050,Dale County ,"15,553","2,598",544
AL,1,1080,Daleville City ,"10,703","1,640",380
AL,1,1110,Dallas County ,"20,042","3,395","1,292"
AL,1,1140,DeKalb County ,"56,893","10,335","2,447"
AL,1,1170,Decatur City ,"58,064","9,722","1,732"
AL,1,1200,Demopolis City ,"7,041","1,279",435
AL,1,1230,Dothan City ,"71,233","11,594","3,258"
AL,1,1260,Elba City ,"4,831",717,229
AL,1,1290,Elmore County ,"81,665","13,511","2,128"
AL,1,1320,Enterprise City ,"29,084","5,443","1,053"
AL,1,1350,Escambia County ,"31,431","5,263","1,568"
AL,1,1380,Etowah County ,"62,384","9,967","1,750"
AL,1,1410,Eufaula City ,"12,750","2,411",788
AL,1,1440,Fairfield City ,"9,898","1,709",678
AL,1,1470,Fayette County ,"14,883","2,356",590
AL,1,1530,Florence City ,"40,390","5,376","1,475"
AL,1,1560,Fort Payne City ,"14,920","2,820",657
AL,1,1,Fort Rucker ,"4,482",846,34
AL,1,1590,Franklin County ,"21,192","3,665",837
AL,1,1620,Gadsden City ,"33,859","5,269","1,785"
AL,1,1640,Geneva City ,"5,981",917,266
AL,1,1660,Geneva County ,"20,720","3,479",913
AL,1,1680,Greene County ,"7,629","1,214",595
AL,1,202,Gulf Shores City ,"15,518","1,874",284
AL,1,1690,Guntersville City ,"8,607","1,351",275
AL,1,1710,Hale County ,"14,754","2,546",807
AL,1,1720,Haleyville City ,"8,338","1,366",352
AL,1,1730,Hartselle City ,"14,712","2,749",265
AL,1,1740,Henry County ,"17,456","2,709",621
AL,1,1760,Homewood City ,"26,144","4,425",371
AL,1,7,Hoover City ,"91,562","15,886","1,265"
AL,1,1770,Houston County ,"37,753","6,662","1,538"
AL,1,1800,Huntsville City ,"218,862","30,996","5,106"
AL,1,1830,Jackson County ,"37,140","5,810","1,510"
AL,1,1860,Jacksonville City ,"14,327","1,685",364
AL,1,1890,Jasper City ,"14,461","2,401",541
AL,1,1920,Jefferson County ,"238,629","41,021","9,110"
AL,1,1950,Lamar County ,"13,689","2,192",498
AL,1,1980,Lanett City ,"6,924","1,165",493
